Q46P,Q49,Q260,Q261,Q262,Q263,Q264,Q265,Q266,Q267,Q268,Q269,Q270,Q271,Q272,Q273,Q274,Q275,Q276,Q277,Q278,Q279,Q280,Q281,Q282,Q283,Q284,Q285,Q286,Q287P,Q288,Q289,Q290
3,8,Female,1992,25,I am born in this country,Not an immigrant,Not an immigrant,840,840,840,"Yes, I am a citizen of this country",4,No,1240,Married,2,Upper secondary education (ISCED 3),Post-secondary non-tertiary education (ISCED 4),Post-secondary non-tertiary education (ISCED 4),Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),Full time (30 hours a week or more),"Professional and technical (for example: doctor, teacher, engineer, artist, accountant, nurse)","Professional and technical (for example: doctor, teacher, engineer, artist, accountant, nurse)","Skilled worker (for example: foreman, motor mechanic, printer, seamstress, tool and die maker, electrician)",Private business or industry,Yes,Spent some savings and borrowed money,Lower middle class,5,Protestant,840001
4,9,Male,1974,43,I am born in this country,Not an immigrant,Not an immigrant,840,840,840,"Yes, I am a citizen of this country",4,No,1240,Married,2,Bachelor or equivalent (ISCED 6),Bachelor or equivalent (ISCED 6),Bachelor or equivalent (ISCED 6),Upper secondary education (ISCED 3),Full time (30 hours a week or more),Full time (30 hours a week or more),"Service (for example: restaurant owner, police officer, waitress, barber, caretaker)","Sales (for example: sales manager, shop owner, shop assistant, insurance agent, buyer)","Skilled worker (for example: foreman, motor mechanic, printer, seamstress, tool and die maker, electrician)",Private business or industry,No,Save money,Upper middle class,7,Do not belong to a denomination,840001
2,4,Female,1989,28,I am born in this country,Not an immigrant,Not an immigrant,840,840,840,"Yes, I am a citizen of this country",4,No,1240,Living together as married,2,Short-cycle tertiary education (ISCED 5),Lower secondary education (ISCED 2),Short-cycle tertiary education (ISCED 5),Short-cycle tertiary education (ISCED 5),Full time (30 hours a week or more),Part time (less than 30 hours a week),"Clerical (for example: secretary, clerk, office manager, civil servant, bookkeeper","Skilled worker (for example: foreman, motor mechanic, printer, seamstress, tool and die maker, electrician)","Skilled worker (for example: foreman, motor mechanic, printer, seamstress, tool and die maker, electrician)",Government or public institution,Yes,Just get by,Lower middle class,4,Do not belong to a denomination,840001
3,9,Female,1997,20,I am born in this country,Not an immigrant,Not an immigrant,840,840,840,"Yes, I am a citizen of this country",2,No,1240,Married,0,Bachelor or equivalent (ISCED 6),Doctoral or equivalent (ISCED 8),Bachelor or equivalent (ISCED 6),Bachelor or equivalent (ISCED 6),Part time (less than 30 hours a week),Full time (30 hours a week or more),"Professional and technical (for example: doctor, teacher, engineer, artist, accountant, nurse)","Professional and technical (for example: doctor, teacher, engineer, artist, accountant, nurse)","Professional and technical (for example: doctor, teacher, engineer, artist, accountant, nurse)",Private business or industry,No,Save money,Upper middle class,4,Roman Catholic,840003
4,10,Male,1958,59,I am born in this country,Not an immigrant,Not an immigrant,840,840,840,"Yes, I am a citizen of this country",2,No,1240,Married,1,Doctoral or equivalent (ISCED 8),Doctoral or equivalent (ISCED 8),Master or equivalent (ISCED 7),Doctoral or equivalent (ISCED 8),Full time (30 hours a week or more),Self employed,"Professional and technical (for example: doctor, teacher, engineer, artist, accountant, nurse)","Professional and technical (for example: doctor, teacher, engineer, artist, accountant, nurse)","Professional and technical (for example: doctor, teacher, engineer, artist, accountant, nurse)",Government or public institution,Yes,Save money,Working class,7,Jew,840001
3,8,Female,1963,54,I am born in this country,Not an immigrant,Not an immigrant,840,840,840,"Yes, I am a citizen of this country",2,No,1240,Married,3,Upper secondary education (ISCED 3),Lower secondary education (ISCED 2),Upper secondary education (ISCED 3),Lower secondary education (ISCED 2),Self employed,Self employed,"Sales (for example: sales manager, shop owner, shop assistant, insurance agent, buyer)","Sales (for example: sales manager, shop owner, shop assistant, insurance agent, buyer)","Sales (for example: sales manager, shop owner, shop assistant, insurance agent, buyer)",Private business or industry,No,Save money,Upper middle class,6,Other Christian (Evangelical/Pentecostal/Fee church/etc.),840001
3,9,Male,1958,59,I am born in this country,Not an immigrant,Not an immigrant,840,840,840,"Yes, I am a citizen of this country",3,No,1240,Married,1,Master or equivalent (ISCED 7),Short-cycle tertiary education (ISCED 5),Bachelor or equivalent (ISCED 6),Doctoral or equivalent (ISCED 8),Part time (less than 30 hours a week),Part time (less than 30 hours a week),"Professional and technical (for example: doctor, teacher, engineer, artist, accountant, nurse)","Service (for example: restaurant owner, police officer, waitress, barber, caretaker)","Professional and technical (for example: doctor, teacher, engineer, artist, accountant, nurse)",Private business or industry,Yes,Save money,Working class,8,Roman Catholic,840001
3,9,Female,1986,31,I am born in this country,Not an immigrant,Not an immigrant,840,840,840,"Yes, I am a citizen of this country",4,No,1240,Married,2,Bachelor or equivalent (ISCED 6),Post-secondary non-tertiary education (ISCED 4),Bachelor or equivalent (ISCED 6),Upper secondary education (ISCED 3),Full time (30 hours a week or more),Full time (30 hours a week or more),"Professional and technical (for example: doctor, teacher, engineer, artist, accountant, nurse)","Skilled worker (for example: foreman, motor mechanic, printer, seamstress, tool and die maker, electrician)","Skilled worker (for example: foreman, motor mechanic, printer, seamstress, tool and die maker, electrician)",Private business or industry,Yes,Save money,Working class,6,Do not belong to a denomination,840001
4,8,Male,1969,48,I am born in this country,Not an immigrant,Not an immigrant,840,840,840,"Yes, I am a citizen of this country",3,No,1240,Married,2,Post-secondary non-tertiary education (ISCED 4),Post-secondary non-tertiary education (ISCED 4),Upper secondary education (ISCED 3),Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),Full time (30 hours a week or more),"Skilled worker (for example: foreman, motor mechanic, printer, seamstress, tool and die maker, electrician)","Clerical (for example: secretary, clerk, office manager, civil servant, bookkeeper","Professional and technical (for example: doctor, teacher, engineer, artist, accountant, nurse)",Private business or industry,Yes,Save money,Working class,7,Do not belong to a denomination,840001
3,10,Female,1969,48,I am born in this country,Not an immigrant,Not an immigrant,840,840,840,"Yes, I am a citizen of this country",5,No,1240,Married,2,Master or equivalent (ISCED 7),Short-cycle tertiary education (ISCED 5),Upper secondary education (ISCED 3),Upper secondary education (ISCED 3),Full time (30 hours a week or more),Self employed,"Higher administrative (for example: banker, executive in big business, high government official, union official)","Service (for example: restaurant owner, police officer, waitress, barber, caretaker)","Farm worker (for example: farm labourer, tractor driver)",Private non-profit organization,Yes,Save money,Lower class,9,Do not belong to a denomination,840002
3,8,Male,1960,57,I am born in this country,Not an immigrant,Not an immigrant,840,840,840,"Yes, I am a citizen of this country",4,No,1240,Married,2,Post-secondary non-tertiary education (ISCED 4),Post-secondary non-tertiary education (ISCED 4),Upper secondary education (ISCED 3),Lower secondary education (ISCED 2),Full time (30 hours a week or more),Full time (30 hours a week or more),"Semi-skilled worker (for example: bricklayer, bus driver, cannery worker, carpenter, sheet metal worker, baker)","Professional and technical (for example: doctor, teacher, engineer, artist, accountant, nurse)","Higher administrative (for example: banker, executive in big business, high government official, union official)",Private business or industry,Yes,Just get by,Lower middle class,5,Roman Catholic,840001
4,8,Male,1975,42,I am born in this country,Not an immigrant,Not an immigrant,840,840,840,"Yes, I am a citizen of this country",3,No,1240,Married,3,Doctoral or equivalent (ISCED 8),Doctoral or equivalent (ISCED 8),Bachelor or equivalent (ISCED 6),Bachelor or equivalent (ISCED 6),Self employed,Full time (30 hours a week or more),"Professional and technical (for example: doctor, teacher, engineer, artist, accountant, nurse)","Professional and technical (for example: doctor, teacher, engineer, artist, accountant, nurse)","Skilled worker (for example: foreman, motor mechanic, printer, seamstress, tool and die maker, electrician)",Private business or industry,No,Save money,Working class,6,Protestant,840001
2,4,Female,1989,28,I am born in this country,Not an immigrant,Not an immigrant,840,840,840,"Yes, I am a citizen of this country",2,No,1240,Married,0,Master or equivalent (ISCED 7),Short-cycle tertiary education (ISCED 5),Upper secondary education (ISCED 3),Upper secondary education (ISCED 3),Full time (30 hours a week or more),Full time (30 hours a week or more),"Professional and technical (for example: doctor, teacher, engineer, artist, accountant, nurse)","Professional and technical (for example: doctor, teacher, engineer, artist, accountant, nurse)","Skilled worker (for example: foreman, motor mechanic, printer, seamstress, tool and die maker, electrician)",Private non-profit organization,No,Spent savings and borrowed money,Lower middle class,4,Protestant,840001
